CONCEPTO,MONTO,PLANTA,DEPARTAMENTO
Imss CCR P4,10398.03,P004P,PRODUCCION
Rcv CCR P4,14604.85,P004P,PRODUCCION
Infonavit CCR P4,7860.21,P004P,PRODUCCION
3% S/Nom CCR P4,3816,P004P,PRODUCCION
3% S/Nom CC P4,3031,P004P,PRODUCCION
Imss CC P4,8421.48,P004P,PRODUCCION
Rcv CC P4,9932.48,P004P,PRODUCCION
Infonavit CC P4,5727.75,P004P,PRODUCCION
Imss CCR P5,872.74,P005,PRODUCCION
Rcv CCR P5,563.6,P005,PRODUCCION
Infonavit CCR P5,308.21,P005,PRODUCCION
3% S/Nom CCR P5,1864,P005,PRODUCCION
3% S/Nom CC P5,2301,P005,PRODUCCION
Imss CC P5,668.02,P005,PRODUCCION
Rcv CC P5,333.94,P005,PRODUCCION
Infonavit CC P5,208.04,P005,PRODUCCION
Imss Costo Concreto P1,7223.57,P001,PRODUCCION
Rcv Costos Concreto P1,14027.35,P001,PRODUCCION
Infonavit Costo Concreto P1,7625.75,P001,PRODUCCION
3% s/nom CCR P1,7048,P001,PRODUCCION
Imss Costo Camion P1,13632.93,P001,PRODUCCION
Rcv Costo Camion P1,22222.4,P001,PRODUCCION
Infonavit Costo Camion P1,12871.14,P001,PRODUCCION
3% S/Nom CC P1,11517,P001,PRODUCCION
Imss CCR P2,27206.51,P002,PRODUCCION
Rcv CCR P2,42539.09,P002,PRODUCCION
Infonavit CCR P2,22384.68,P002,PRODUCCION
Imss CC P2,13320.63,P002,PRODUCCION
Rcv CC P2,19390.07,P002,PRODUCCION
Infonavit CC P2,10307.36,P002,PRODUCCION
Imss CCR P3,11303.23,P003,PRODUCCION
Rcv CCR P3,17705.61,P003,PRODUCCION
Infonavit CCR P3,9306.02,P003,PRODUCCION
Imss CC P3,8625.28,P003,PRODUCCION
Rcv CC P3,14411.62,P003,PRODUCCION
Infonavit CC P3,7574.69,P003,PRODUCCION
Casetas viales P1,5210.27,P001,PRODUCCION
Uniformes de Trabajo P1,6061.18,P001,RECURSOS HUMANOS
Verificaciones Vehiculares P1,969.83,P001,MANTENIMIENTO
Renta de CR P1,285678,P001,PRODUCCION
Servicio de bombeo P1,21257.5,P001,PRODUCCION
Arrendamiento Leasing P1,8411.2,P001,PRODUCCION
Renta de Maquinaria P2,468463.33,P002,PRODUCCION
Uniformes de Trabajo P2,3763.82,P002,RECURSOS HUMANOS
Servicio de bombeo P2,25672.5,P002,PRODUCCION
Renta de Terreno P2,65000,P002,PRODUCCION
Renta de Maquinaria P3,30000,P003,PRODUCCION
Casetas viales P4,120.69,P004P,PRODUCCION
Uniformes de Trabajo P4,1586.85,P004P,RECURSOS HUMANOS
Servicio de bombeo P4,25912.5,P004P,PRODUCCION
Concreto Premezclado P4,41879.32,P004P,PRODUCCION
Servicio de Grua P5,100000,P005,PRODUCCION
Arrendamiento Leasing P5,24974.86,P005,PRODUCCION
Casetas viales P6,318,P005,PRODUCCION
Imss Admon P1,21056.85,GEN,ADMINISTRACION
Rcv Admon P1,48034.07,GEN,ADMINISTRACION
Infonavit Admon P1,25682.47,GEN,ADMINISTRACION
3% S/nom Admon P1,10841,GEN,ADMINISTRACION
Dominio Correo P1,5460,GEN,ADMINISTRACION
Atencion al Personal P1,11175.96,P001,RECURSOS HUMANOS
Licencias de Sistemas P1,11907,P001,PRODUCCION
Soporte de Sistemas P1,40000,P001,PRODUCCION
Papeleria P1,5257.54,P001,PRODUCCION
Viaticos P1,5280.05,P001,RECURSOS HUMANOS
Telefonia e Internet P1,14702.53,P001,ADMINISTRACION
Honorarios P1,29387.74,P001,ADMINISTRACION
Tramites Legales P1,233,P001,ADMINISTRACION
Paqueteria y Envios P1,1988.83,P001,ADMINISTRACION
Agua de Garrafon P1,1144,P001,RECURSOS HUMANOS
Impuestos y Derechos P1,1313,P001,GENERAL
Articulos de Limpieza P1,575.48,P001,LIMPIEZA
Gastos No deducibles P1,848.83,P001,GENERAL
Recargos P1,2113.09,P001,GENERAL
Combustibles y Gasolina P1,24495.8,P001,PRODUCCION
Seguros y Fianzas P1,1600,P001,GENERAL
Renta de Equipo de Impresion P1,6000,P001,ADMINISTRACION
Imss Admon P2,14266.8,TJ,ADMINISTRACION
Rcv Admon P2,28831.95,TJ,ADMINISTRACION
Infonavit Admon P2,15153.98,TJ,ADMINISTRACION
Atencion al Personal P2,50806.41,TJ,RECURSOS HUMANOS
Licencias de Sistemas P2,11907,P002,PRODUCCION
Papeleria P2,832.41,P002,PRODUCCION
Viaticos P2,52634.15,P002,RECURSOS HUMANOS
Arrendamientos P2,74959.31,P002,PRODUCCION
Telefonia e Internet P2,3970.25,P002,ADMINISTRACION
Paqueteria y Envios P2,3571.87,P002,ADMINISTRACION
Agua de Garrafon P2,1035.5,P002,RECURSOS HUMANOS
Gastos no Deducibles P2,2071.59,P002,GENERAL
Articulos de limpieza P2,3181.77,P002,LIMPIEZA
Combustible y Gasolina P2,55718.63,P002,PRODUCCION
Imss Admon P3,15317.04,GEN,ADMINISTRACION
Rcv Admon P3,30885.17,GEN,ADMINISTRACION
Infonavit Admon P3,16233.15,GEN,ADMINISTRACION
Atencion al Personal P3,3040.74,P003,RECURSOS HUMANOS
Licencias de Sistemas P3,11907,P003,PRODUCCION
Viaticos P3,3679,P003,RECURSOS HUMANOS
Arrendamientos P3,15000,P003,PRODUCCION
Telefonia e Internet P3,3788.39,P003,ADMINISTRACION
Agua de Garrafon P3,141,P003,RECURSOS HUMANOS
3% S/Nom Admon P4,1178,P004P,ADMINISTRACION
Imss Admon P4,7864.69,P004P,ADMINISTRACION
Rcv Admon P4,14783.76,P004P,ADMINISTRACION
Infonavit Admon P4,8066.13,P004P,ADMINISTRACION
Atencion al Personal P4,4145.52,P004P,RECURSOS HUMANOS
Licencias de Sistemas P4,11907,P004P,PRODUCCION
Papeleria P4,2384.25,P004P,PRODUCCION
Viaticos P4,6782.07,P004P,RECURSOS HUMANOS
Telefonia e Internet P4,310.35,P004P,ADMINISTRACION
Tramites Legales P4,43698.85,P004P,ADMINISTRACION
Gastos no Deducibles P4,0.02,P004P,GENERAL
Combustible y Gasolina P4,11271.68,P004P,PRODUCCION
Renta de Baños P4,2800,P004P,PRODUCCION
Seguros y Fianzas P4,209.9,P004P,GENERAL
Rcv Admon P5,909.63,P005,ADMINISTRACION
Infonavit Admon P5,543.97,P005,ADMINISTRACION
3% S/nom Admon P5,102,P005,ADMINISTRACION
Atencion al Personal P5,771.55,P005,RECURSOS HUMANOS
Viaticos P5,5950,P005,RECURSOS HUMANOS
Arrendamientos P5,7500,P005,PRODUCCION
Telefonia e Internet P5,3325.42,P005,PRODUCCION
Tramites Legales P5,95045.48,P005,ADMINISTRACION
Combustibles y Gasolina P5,3706.72,P005,PRODUCCION
Seguros y Fianzas P5,209.9,P005,GENERAL
Renta de Baños P5,2800,P005,PRODUCCION
Combustibles y Gasolina P6,1556.45,P004P,PRODUCCION
Imss Ventas P1,3849.18,P001,COMERCIAL
Rcv Ventas P1,12955.57,P001,COMERCIAL
Infonavit Venta P1,6809.4,P001,COMERCIAL
3% s/nom Vtas P1,3044,P001,COMERCIAL
Gastos de Venta P1,30809.38,P001,COMERCIAL
Publicidad P1,13500,P001,COMERCIAL
Combustible de Ventas P1,17309.38,P001,COMERCIAL
ALMUERZO P1 ENTRADA A LAS 4 AM,1522,P001,RECURSOS HUMANOS
DADIVA A GUARDIA NACIONAL SILAO P1,5000,P001,ADMINISTRACION
RENTA DE CASA CAMPAMENTO P5,5000,P005,PRODUCCION
REPOSICION DE CAJA MARIO PEREZ GONZALEZ P4,10313,P004P,PRODUCCION
TALACHA P1,100,P001,ADMINISTRACION
ALMUERZO P1 ENTRADA A LAS 4 AM,1217,P001,RECURSOS HUMANOS
VIATICOS ABELARDO MANTO SLP P4 ,700,P004P,RECURSOS HUMANOS
ESTACIONAMIENTO BANCOMER ABELARDO,18,GEN,ADMINISTRACION
VIATICOS ANTONIO SOUSA A SLP P4 ,500,P004P,RECURSOS HUMANOS
GASTOS DE REPRESENTACION CASO EMILIANO MUÑOZ P1(Lic Roberto Zuñiga),8000,P001,ADMINISTRACION
RENTA PLANTA 4 LA PITAHAYA,15000,P004P,PRODUCCION
COMPRA DE ALMUERZO TORTAS PARA P1,1300,P001,RECURSOS HUMANOS
PAGO DE BOMBEO A ADRIAN TAPIA P1,22380,P001,PRODUCCION
"TRABAJOS PAILERIA A CAMIONES CR 20,26, Y 28",5250,P001,MANTENIMIENTO
TOPOGRAFO NIVELES Y VERTICES TERRENO P5,7500,P005,PRODUCCION
10 VIAJES DE AGUA P4,4000,P004P,PRODUCCION
REPOSICION DE CAJA MARIO PEREZ GONZALEZ P4,9844.5,P004P,PRODUCCION
61 VIAJES DE AGUA POZO NAPOLES P1,9760,P001,PRODUCCION
VIATICOS A AGUASCALIENTES ABELARDO P4,500,P004P,RECURSOS HUMANOS
1ER RENTA DE CAMPAMENTO VILLA DE REYES P4,7500,P004P,PRODUCCION
SERVICIO DE MOTOR CR19 Y 15 LUIS ARMANDO AVILA HDEZ,5300,P001,MANTENIMIENTO
LAVADO Y DETALLADO DE CAMIONES,1700,P001,MANTENIMIENTO
REPOSICION DE GASTOS ING SALVADOR GRAJEDA P5,749,P005,PRODUCCION
REPOSICION DE GASTOS HECTOR NO FISCALES,2858,GEN,GENERAL
REPOSICION DE CAJA MARIO PEREZ GONZALEZ P5,9404,P005,PRODUCCION
"COMIDA AUTORIZADA HECTOR MORALES ,SALIDA TARDE P1",1000,P001,RECURSOS HUMANOS
DEPOSITO SOBRANTE EN COMPROBANTE DE CASETAS BAJADA CRS P4,808,P004P,ADMINISTRACION
RENTA CAMPAMENTO P4,5000,P004P,PRODUCCION
DADIVA A GUARDIA NACIONAL SLP P4,1000,P004P,ADMINISTRACION
REP DE CJA BRISA RH TJ,5428.96,TJ,RECURSOS HUMANOS
RENTA DEPTO ALEX DIAZ P1,20500,P001,CALIDAD